id,name,ownericon,owner,datalocalisation,age,lastupdateyears,lastupdatemonths,lastupdatedays,nocontributors,noissues,nointerests,license,size,sizeindexed,sizeunindexed,nodevdependencies,noproddependencies,nopeerdependencies,nodependencies,noversions,nomaintainers,latestversion,centrality,indegree,outdegree,gcom,bcom,ucom,xcom,ycom,rcom,ecom,ncom,vul.info,vul.low,vul.moderate,vul.high,vul.critical
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213,16410,3625,39,24,0,63,213,5,6.4.4,2,1,2,0,0,0,0,0,0,0,2850,0,5,21,31,7
karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576,15141,3734,29,1,0,30,23,5,2.0.1,3,3,2,0,0,0,0,0,0,0,184,0,4,27,80,17
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576,15141,3734,29,1,0,30,23,5,2.0.1,3,3,2,0,0,0,0,0,0,0,184,0,4,27,80,17
mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078,4192,1101,6,0,0,6,85,1,5.4.0,1,1,0,0,0,0,0,0,0,0,733,0,0,0,0,0
mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078,4192,1101,6,0,0,6,85,1,5.4.0,1,1,0,0,0,0,0,0,0,0,733,0,0,0,0,0
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213,16410,3625,39,24,0,63,213,5,6.4.4,2,1,2,0,0,0,0,0,0,0,2850,0,5,21,31,7
karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576,15141,3734,29,1,0,30,23,5,2.0.1,3,3,2,0,0,0,0,0,0,0,184,0,4,27,80,17
mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078,4192,1101,6,0,0,6,85,1,5.4.0,2,1,2,0,0,0,0,0,0,0,733,0,0,0,0,0
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576,15141,3734,29,1,0,30,23,5,2.0.1,3,3,2,0,0,0,0,0,0,0,184,0,4,27,80,17
mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078,4192,1101,6,0,0,6,85,1,5.4.0,2,1,2,0,0,0,0,0,0,0,733,0,0,0,0,0
eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142,3597,839,6,6,0,12,22,1,14.1.2,1,1,0,0,0,0,0,0,0,0,101,0,0,1,2,0
eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142,3597,839,6,6,0,12,22,1,14.1.2,1,1,0,0,0,0,0,0,0,0,101,0,0,1,2,0
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213,16410,3625,39,24,0,63,213,5,6.4.4,2,1,2,0,0,0,0,0,0,0,2850,0,5,21,31,7
karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576,15141,3734,29,1,0,30,23,5,2.0.1,3,3,2,0,0,0,0,0,0,0,184,0,4,27,80,17
mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078,4192,1101,6,0,0,6,85,1,5.4.0,2,1,2,0,0,0,0,0,0,0,733,0,0,0,0,0
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576,15141,3734,29,1,0,30,23,5,2.0.1,3,3,2,0,0,0,0,0,0,0,184,0,4,27,80,17
mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078,4192,1101,6,0,0,6,85,1,5.4.0,2,1,2,0,0,0,0,0,0,0,733,0,0,0,0,0
semver,semver,https://avatars.githubusercontent.com/u/6078720?v=4,npm,United States(District of Columbia),13.71,0,0,0.2,81,48,10277,ISC,172772789,16645,3874,0,0,0,0,108,6,7.6.3,1,1,0,,,,,,,,,0,0,0,1,0
semver,semver,https://avatars.githubusercontent.com/u/6078720?v=4,npm,United States(District of Columbia),13.71,0,0,0.2,81,48,10277,ISC,172772789,16645,3874,0,0,0,0,108,6,7.6.3,1,1,0,,,,,,,,,0,0,0,1,0
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
karma,karma,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,13.04,0.01,0,2.47,340,379,24233,MIT,396432213,16410,3625,39,24,0,63,213,5,6.4.4,2,1,2,0,0,0,0,0,0,0,2850,0,5,21,31,7
karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576,15141,3734,29,1,0,30,23,5,2.0.1,3,3,2,0,0,0,0,0,0,0,184,0,4,27,80,17
mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078,4192,1101,6,0,0,6,85,1,5.4.0,2,1,2,0,0,0,0,0,0,0,733,0,0,0,0,0
eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142,3597,839,6,6,0,12,22,1,14.1.2,2,1,2,0,0,0,0,0,0,0,101,0,0,1,2,0
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
karma-mocha,karma-mocha,https://avatars.githubusercontent.com/u/3284117?v=4,karma-runner,unknown,11.66,0.44,5,158.92,34,86,768,MIT,70595576,15141,3734,29,1,0,30,23,5,2.0.1,3,3,2,0,0,0,0,0,0,0,184,0,4,27,80,17
mock-fs,mock-fs,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,10.96,0.03,0,10.85,38,67,1823,MIT,35342078,4192,1101,6,0,0,6,85,1,5.4.0,2,1,2,0,0,0,0,0,0,0,733,0,0,0,0,0
eslint-config-tschaub,eslint-config-tschaub,https://avatars.githubusercontent.com/u/41094?v=4,tschaub,unknown,9.34,2.7,32,986.02,3,0,3,MIT,32631142,3597,839,6,6,0,12,22,1,14.1.2,2,1,2,0,0,0,0,0,0,0,101,0,0,1,2,0
eslint-config-prettier,eslint-config-prettier,https://avatars.githubusercontent.com/u/25822731?v=4,prettier,unknown,7.74,0,0,0.1,34,12,10943,MIT,115858400,12841,3112,25,0,0,25,72,3,9.1.0,1,1,0,0,0,0,0,0,0,0,381,0,0,1,1,0
eslint-config-prettier,eslint-config-prettier,https://avatars.githubusercontent.com/u/25822731?v=4,prettier,unknown,7.74,0,0,0.1,34,12,10943,MIT,115858400,12841,3112,25,0,0,25,72,3,9.1.0,1,1,0,0,0,0,0,0,0,0,381,0,0,1,1,0
brick-boilerplate,brick-boilerplate,https://avatars.githubusercontent.com/u/131524?v=4,Mozilla,United States(California),10.46,0.03,0,12.1,1,3,16,ISC,38289313,7091,2336,15,0,0,15,1,1,0.0.0,2,0,2,0,0,0,0,0,0,0,20,0,3,7,44,14
